UK	6	8	10	12	14	16	18	20	22	24	26	28
US	2	4	6	8	10	12	14	16	18	20	22	24
Europe	34	36	38	40	42	44	46	48	50	52	54	56
Australia	4	6	8	10	12	14	16	18	20	22	24	26
NewZealand	4	6	8	10	12	14	16	18	20	22	24	26
Chest	80	84	86.5	90	94	99	104	109	114	123	128	133
Waist	65	67.5	71	74	79	84	91.5	99	103	109	116	123
SizeLetter	XS	S	S	M	M	L	L	XL	XL			
