UK	6	8	10	12	14	16	18	20	22	24	26	28
SizeId	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100
US	2	4	6	8	10	12	14	16	18	20	22	24
Europe	34	36	38	40	42	44	46	48	50	52	54	56
Australia	4	6	8	10	12	14	16	18	20	22	24	26
NewZealand	4	6	8	10	12	14	16	18	20	22	24	26
Waist	65	67.5	71	74	79	84	91.5	99	103	109	116	123
Hips	87.5	91.5	95	99	105.5	110.5	117	123	127	131	137	144
SizeLetter	XS	S	S	M	M	L	L	XL	XL			
