SizeLetter	XXS	XS	XS	S	M	L	L	XL	XL
SizeId	-80	-60	-40	-20	0	20	40	60	80
UK	4	6	8	10	12	14	16	18	20
EU	4	6	8	10	12	14	16	18	20
Singapore	4	6	8	10	12	14	16	18	20
Malaysia	4	6	8	10	12	14	16	18	20
Aus	4	6	8	10	12	14	16	18	20
BUST	76.2	81.3	86.4	91.4	96.5	101.6	106.7	111.8	116.8
WAIST	58.4	63.5	68.6	73.7	78.7	83.8	88.9	94.0	99.1
HIP	83.8	88.9	94.0	99.1	104.1	109.2	114.3	119.4	124.5
Sleeve	78.7	80.0	81.3	83.8	86.4	88.9	90.2	91.4	92.7
