SizeLetter	XS	S	M	L	XL
SizeId	-40	-20	0	20	40
US	28	30	32	34,36	38
Canada	28	30	32	34,36	38
UK	28	30	32	34,36	38
HongKong	28	30	32	34,36	38
France	39	41	43	45,47	48
Germany	39	41	43	45,47	48
Italy	44	46	48	50,52	54
Russia	36	38	41	43,46	48
Europe	71	76	81	86,91	97
Brazil	71	76	81	86,91	97
Japan	71	76	81	86,91	97
Chest	87.6	92.7	97.8	105.4	113.0
Neck	33.0	36.2	39.4	42.5	45.7
Sleeve	80.0	81.9	83.8	86.4	88.9
Waist	71.1	76.2	81.3	88.9	96.5
Hips	86.4	91.4	96.5	104.1	111.8

