sizeid	brand	region	gender	height	chest	waist	hips	weight	size
0	bodyglove	AA	female	1.7145				60.7500	9,10
20	bodyglove	AA	female	1.7399				63.0000	11,12
-100	bodyglove	AA	male	1.6764				56.2500	XS
-80	bodyglove	AA	male	1.7018				63.0000	S
-60	bodyglove	AA	male	1.6891				85.5000	ML
-40	bodyglove	AA	male	1.7272				69.7500	MS
-20	bodyglove	AA	male	1.7653				70.8750	M
0	bodyglove	AA	male	1.8669				74.2500	MT
20	bodyglove	AA	male	1.7145				87.7500	L
40	bodyglove	AA	male	1.7653				83.2500	LS
60	bodyglove	AA	male	1.8923				90.0000	LT
80	bodyglove	AA	male	1.8415				92.2500	XL
-60	gill	AA	female		0.8150	0.6450	0.8950		8
-40	gill	AA	female		0.8550	0.6750	0.9300		10
-20	gill	AA	female		0.9050	0.7250	0.9550		12
0	gill	AA	female		0.9450	0.7750	1.0050		14
20	gill	AA	female		0.9800	0.8250	1.0550		16
40	gill	AA	female		1.0300	0.8800	1.1050		18
60	gill	AA	female		1.0800	0.9300	1.1550		20
-60	gill	XA	female		0.8150	0.6450	0.8950		34
-40	gill	XA	female		0.8550	0.6750	0.9300		36
-20	gill	XA	female		0.9050	0.7250	0.9550		38
0	gill	XA	female		0.9450	0.7750	1.0050		40
20	gill	XA	female		0.9800	0.8250	1.0550		42
40	gill	XA	female		1.0300	0.8800	1.1050		44
60	gill	XA	female		1.0800	0.9300	1.1550		46
-60	gill	US	female		0.8150	0.6450	0.8950		4
-40	gill	US	female		0.8550	0.6750	0.9300		6
-20	gill	US	female		0.9050	0.7250	0.9550		8
0	gill	US	female		0.9450	0.7750	1.0050		10
20	gill	US	female		0.9800	0.8250	1.0550		12
40	gill	US	female		1.0300	0.8800	1.1050		14
60	gill	US	female		1.0800	0.9300	1.1550		16
-60	gill	GB	female		0.8150	0.6450	0.8950		8
-40	gill	GB	female		0.8550	0.6750	0.9300		10
-20	gill	GB	female		0.9050	0.7250	0.9550		12
0	gill	GB	female		0.9450	0.7750	1.0050		14
20	gill	GB	female		0.9800	0.8250	1.0550		16
40	gill	GB	female		1.0300	0.8800	1.1050		18
60	gill	GB	female		1.0800	0.9300	1.1550		20
-60	gill	AA	male	1.6050	0.8950	0.7100			XS
-40	gill	AA	male	1.6650	0.9450	0.7500			S
-20	gill	AA	male	1.7400	0.9950	0.8150			M
0	gill	AA	male	1.8200	1.0650	0.9050			L
20	gill	AA	male	1.8700	1.1550	0.9950			XL
40	gill	AA	male	1.8950	1.2250	1.0650			XXL
60	gill	AA	male	1.8950	1.2950	1.1350			XXXL
-80	gul	AA	female	1.6250	0.7850	0.5850	0.8350		8
-60	gul	AA	female	1.6600	0.8350	0.6350	0.8850		10
-40	gul	AA	female	1.6850	0.8350	0.6350	0.8850		10T
-20	gul	AA	female	1.6500	0.8850	0.6850	0.9400		12
0	gul	AA	female	1.7150	0.8850	0.6850	0.9400		12T
20	gul	AA	female	1.6850	0.8850	0.6850	0.9950		12/14
40	gul	AA	female	1.7150	0.9400	0.7350	0.9950		14
60	gul	AA	female	1.7450	0.9950	0.7850	1.0450		16
-80	gul	GB	female	1.6250	0.7850	0.5850	0.8350		8
-60	gul	GB	female	1.6600	0.8350	0.6350	0.8850		10
-40	gul	GB	female	1.6850	0.8350	0.6350	0.8850		10T
-20	gul	GB	female	1.6500	0.8850	0.6850	0.9400		12
0	gul	GB	female	1.7150	0.8850	0.6850	0.9400		12T
20	gul	GB	female	1.6850	0.8850	0.6850	0.9950		12/14
