sizeid	brand	region	gender	chest	neck	sleeve	torsolength	hips	waist	size
-20	bench	uk	female	0.8700					0.6900	10/S
0	bench	uk	female	0.9200					0.7400	12/M
20	bench	uk	female	0.9700					0.7900	14/L
40	bench	uk	female	1.0200					0.8400	16/XL
-240	bench	europe	male	1.0400	0.3950					S/S
-220	bench	europe	male	1.1000	0.3950					M/S
-200	bench	europe	male	1.1600	0.3950					L/S
-180	bench	europe	male	1.2200	0.3950					XL/S
-160	bench	europe	male	1.3100	0.3950					XXL/S
-140	bench	europe	male	1.0400	0.4100					S/M
-120	bench	europe	male	1.1000	0.4100					M/M
-100	bench	europe	male	1.1600	0.4100					L/M
-80	bench	europe	male	1.2200	0.4100					XL/M
-60	bench	europe	male	1.3100	0.4100					XXL/M
-40	bench	europe	male	1.0400	0.4250					S/L
-20	bench	europe	male	1.1000	0.4250					M/L
0	bench	europe	male	1.1600	0.4250					L/L
20	bench	europe	male	1.2200	0.4250					XL/L
40	bench	europe	male	1.3100	0.4250					XXL/L
60	bench	europe	male	1.0400	0.4400					S/XL
80	bench	europe	male	1.1000	0.4400					M/XL
100	bench	europe	male	1.1600	0.4400					L/XL
120	bench	europe	male	1.2200	0.4400					XL/XL
140	bench	europe	male	1.3100	0.4400					XXL/XL
160	bench	europe	male	1.0400	0.4650					S/XXL
180	bench	europe	male	1.1000	0.4650					M/XXL
200	bench	europe	male	1.1600	0.4650					L/XXL
220	bench	europe	male	1.2200	0.4650					XL/XXL
240	bench	europe	male	1.3100	0.4650					XXL/XXL
-240	bench	us	male	1.0400	0.3950					S/S
-220	bench	us	male	1.1000	0.3950					M/S
-200	bench	us	male	1.1600	0.3950					L/S
-180	bench	us	male	1.2200	0.3950					XL/S
-160	bench	us	male	1.3100	0.3950					XXL/S
-140	bench	us	male	1.0400	0.4100					S/M
-120	bench	us	male	1.1000	0.4100					M/M
-100	bench	us	male	1.1600	0.4100					L/M
-80	bench	us	male	1.2200	0.4100					XL/M
-60	bench	us	male	1.3100	0.4100					XXL/M
-40	bench	us	male	1.0400	0.4250					S/L
-20	bench	us	male	1.1000	0.4250					M/L
0	bench	us	male	1.1600	0.4250					L/L
20	bench	us	male	1.2200	0.4250					XL/L
40	bench	us	male	1.3100	0.4250					XXL/L
60	bench	us	male	1.0400	0.4400					S/XL
80	bench	us	male	1.1000	0.4400					M/XL
100	bench	us	male	1.1600	0.4400					L/XL
120	bench	us	male	1.2200	0.4400					XL/XL
140	bench	us	male	1.3100	0.4400					XXL/XL
160	bench	us	male	1.0400	0.4650					S/XXL
180	bench	us	male	1.1000	0.4650					M/XXL
200	bench	us	male	1.1600	0.4650					L/XXL
220	bench	us	male	1.2200	0.4650					XL/XXL
240	bench	us	male	1.3100	0.4650					XXL/XXL
-240	bench	uk	male	1.0400	0.3950					S/S
-220	bench	uk	male	1.1000	0.3950					M/S
-200	bench	uk	male	1.1600	0.3950					L/S
-180	bench	uk	male	1.2200	0.3950					XL/S
-160	bench	uk	male	1.3100	0.3950					XXL/S
-140	bench	uk	male	1.0400	0.4100					S/M
-120	bench	uk	male	1.1000	0.4100					M/M
-100	bench	uk	male	1.1600	0.4100					L/M
-80	bench	uk	male	1.2200	0.4100					XL/M
