sizeid	brand	region	gender	waist	hips	height	insideleg	size
-18	tu	uk	female	84	104	165.10		14 (long)
2	tu	uk	female	89	109	172.72		16 (long)
22	tu	uk	female	94	114	144.78		18 (long)
42	tu	uk	female	99	119	156.21		20 (long)
62	tu	uk	female	104	124	165.10		22 (long)
82	tu	uk	female	109	129	172.72		24 (long)
-260	whitestuff	uk	female	63		150		s
-240	whitestuff	uk	female	63		164		s
-220	whitestuff	uk	female	63		165		m
-200	whitestuff	uk	female	63		176		m
-180	whitestuff	uk	female	68		150		s
-160	whitestuff	uk	female	68		164		s
-140	whitestuff	uk	female	68		165		m
-120	whitestuff	uk	female	68		176		m
-100	whitestuff	uk	female	68		177		l
-80	whitestuff	uk	female	68		183		l
-60	whitestuff	uk	female	73		150		s
-40	whitestuff	uk	female	73		164		s
-20	whitestuff	uk	female	73		165		m
0	whitestuff	uk	female	73		176		m
20	whitestuff	uk	female	73		177		l
40	whitestuff	uk	female	73		183		l
60	whitestuff	uk	female	78		150		m
80	whitestuff	uk	female	78		164		m
100	whitestuff	uk	female	78		165		l
120	whitestuff	uk	female	78		176		l
140	whitestuff	uk	female	78		177		l
160	whitestuff	uk	female	78		183		l
180	whitestuff	uk	female	83		150		m
200	whitestuff	uk	female	83		164		m
220	whitestuff	uk	female	83		165		l
240	whitestuff	uk	female	83		176		l
-20	zara	uk	female			165.00		s,m
0	zara	uk	female			172.50		m,l
