UK	8	10	12	14	16	18	20	22	24	26
SizeId	-100	-80	-60	-40	-20	0	20	40	60	80
Europe	36	38	40	42	44	46	48	50	52	54
US	4	6	8	10	12	14	16	18	20	22
Australia	8	10	12	14	16	18	20	22	24	26
Bust	81	86	91	96	101	108½	116	122	128	134
Waist	63	68	73	78	83	90½	98	104	110	116
Hips	88½	93½	98½	103½	108½	116	123½	129½	135½	141½
